Freq.	V(out)
1.00000000000000e+000	(-8.30537054312101e-003dB,-1.15833746800349e-002°)
1.02329299228075e+000	(-8.30511813672555e-003dB,-1.18531863913332e-002°)
1.04712854805090e+000	(-8.30485383477776e-003dB,-1.21292828429263e-002°)
1.07151930523761e+000	(-8.30457707665869e-003dB,-1.24118104265230e-002°)
1.09647819614318e+000	(-8.30428727531904e-003dB,-1.27009189438244e-002°)
1.12201845430196e+000	(-8.30398381605621e-003dB,-1.29967616859622e-002°)
1.14815362149688e+000	(-8.30366605519671e-003dB,-1.32994955147842e-002°)
1.17489755493953e+000	(-8.30333331870919e-003dB,-1.36092809460323e-002°)
1.20226443461741e+000	(-8.30298490084048e-003dB,-1.39262822344669e-002°)
1.23026877081238e+000	(-8.30262006251816e-003dB,-1.42506674609615e-002°)
1.25892541179417e+000	(-8.30223802989207e-003dB,-1.45826086216371e-002°)
1.28824955169313e+000	(-8.30183799261525e-003dB,-1.49222817190716e-002°)
1.31825673855641e+000	(-8.30141910214317e-003dB,-1.52698668556301e-002°)
1.34896288259165e+000	(-8.30098046995673e-003dB,-1.56255483289740e-002°)
1.38038426460288e+000	(-8.30052116565692e-003dB,-1.59895147297942e-002°)
1.41253754462275e+000	(-8.30004021499474e-003dB,-1.63619590418222e-002°)
1.44543977074593e+000	(-8.29953659780078e-003dB,-1.67430787441712e-002°)
1.47910838816821e+000	(-8.29900924585691e-003dB,-1.71330759160633e-002°)
1.51356124843621e+000	(-8.29845704053436e-003dB,-1.75321573439912e-002°)
1.54881661891248e+000	(-8.29787881055143e-003dB,-1.79405346313918e-002°)
1.58489319246111e+000	(-8.29727332941764e-003dB,-1.83584243108554e-002°)
1.62181009735893e+000	(-8.29663931279766e-003dB,-1.87860479589677e-002°)
1.65958690743756e+000	(-8.29597541586270e-003dB,-1.92236323138166e-002°)
1.69824365246174e+000	(-8.29528023038909e-003dB,-1.96714093952457e-002°)
1.73780082874937e+000	(-8.29455228179114e-003dB,-2.01296166279064e-002°)
1.77827941003892e+000	(-8.29379002599867e-003dB,-2.05984969671763e-002°)
1.81970085860998e+000	(-8.29299184613469e-003dB,-2.10782990280143e-002°)
1.86208713666287e+000	(-8.29215604916705e-003dB,-2.15692772168232e-002°)
1.90546071796325e+000	(-8.29128086223290e-003dB,-2.20716918663808e-002°)
1.94984459975804e+000	(-8.29036442895349e-003dB,-2.25858093739161e-002°)
1.99526231496888e+000	(-8.28940480542463e-003dB,-2.31119023424076e-002°)
2.04173794466953e+000	(-8.28839995616377e-003dB,-2.36502497251739e-002°)
2.08929613085404e+000	(-8.28734774972311e-003dB,-2.42011369738346e-002°)
2.13796208950223e+000	(-8.28624595421777e-003dB,-2.47648561897200e-002°)
2.18776162394955e+000	(-8.28509223261363e-003dB,-2.53417062788170e-002°)
2.23872113856834e+000	(-8.28388413765611e-003dB,-2.59319931103141e-002°)
2.29086765276777e+000	(-8.28261910681352e-003dB,-2.65360296788599e-002°)
2.34422881531992e+000	(-8.28129445677049e-003dB,-2.71541362705958e-002°)
2.39883291901949e+000	(-8.27990737774877e-003dB,-2.77866406330543e-002°)
2.45470891568503e+000	(-8.27845492752782e-003dB,-2.84338781490378e-002°)
2.51188643150958e+000	(-8.27693402527042e-003dB,-2.90961920145334e-002°)
2.57039578276886e+000	(-8.27534144490052e-003dB,-2.97739334207901e-002°)
2.63026799189538e+000	(-8.27367380831882e-003dB,-3.04674617406328e-002°)
2.69153480392691e+000	(-8.27192757820450e-003dB,-3.11771447191344e-002°)
2.75422870333816e+000	(-8.27009905053108e-003dB,-3.19033586687227e-002°)
2.81838293126445e+000	(-8.26818434673591e-003dB,-3.26464886688508e-002°)
2.88403150312660e+000	(-8.26617940540905e-003dB,-3.34069287703144e-002°)
2.95120922666638e+000	(-8.26407997377843e-003dB,-3.41850822043470e-002°)
3.01995172040201e+000	(-8.26188159860827e-003dB,-3.49813615965852e-002°)
3.09029543251359e+000	(-8.25957961678873e-003dB,-3.57961891860368e-002°)
3.16227766016837e+000	(-8.25716914546028e-003dB,-3.66299970491515e-002°)
3.23593656929628e+000	(-8.25464507162085e-003dB,-3.74832273291217e-002°)
3.31131121482591e+000	(-8.25200204132864e-003dB,-3.83563324705413e-002°)
3.38844156139202e+000	(-8.24923444823222e-003dB,-3.92497754595355e-002°)
3.46736850452531e+000	(-8.24633642185653e-003dB,-4.01640300695080e-002°)
3.54813389233575e+000	(-8.24330181499135e-003dB,-4.10995811126129e-002°)
3.63078054770101e+000	(-8.24012419072657e-003dB,-4.20569246971053e-002°)
3.71535229097172e+000	(-8.23679680879369e-003dB,-4.30365684907095e-002°)
3.80189396320560e+000	(-8.23331261122488e-003dB,-4.40390319901253e-002°)
3.89045144994280e+000	(-8.22966420747286e-003dB,-4.50648467968427e-002°)
3.98107170553496e+000	(-8.22584385861085e-003dB,-4.61145568993944e-002°)
4.07380277804112e+000	(-8.22184346100785e-003dB,-4.71887189622001e-002°)
4.16869383470335e+000	(-8.21765452912853e-003dB,-4.82879026211793e-002°)
4.26579518801592e+000	(-8.21326817747629e-003dB,-4.94126907862473e-002°)
4.36515832240165e+000	(-8.20867510180875e-003dB,-5.05636799509114e-002°)
4.46683592150962e+000	(-8.20386555936137e-003dB,-5.17414805090872e-002°)
4.57088189614874e+000	(-8.19882934819578e-003dB,-5.29467170793246e-002°)
4.67735141287197e+000	(-8.19355578555055e-003dB,-5.41800288366353e-002°)
4.78630092322637e+000	(-8.18803368520284e-003dB,-5.54420698520681e-002°)
4.89778819368445e+000	(-8.18225133368392e-003dB,-5.67335094402331e-002°)
5.01187233627271e+000	(-8.17619646551145e-003dB,-5.80550325149709e-002°)
5.12861383991364e+000	(-8.16985623706621e-003dB,-5.94073399533211e-002°)
5.24807460249771e+000	(-8.16321719945680e-003dB,-6.07911489680683e-002°)
5.37031796370252e+000	(-8.15626526989951e-003dB,-6.22071934889424e-002°)
5.49540873857623e+000	(-8.14898570188937e-003dB,-6.36562245528122e-002°)
5.62341325190348e+000	(-8.14136305391739e-003dB,-6.51390107029970e-002°)
5.75439937337156e+000	(-8.13338115666930e-003dB,-6.66563383979277e-002°)
5.88843655355588e+000	(-8.12502307879860e-003dB,-6.82090124294263e-002°)
6.02559586074356e+000	(-8.11627109090326e-003dB,-6.97978563507556e-002°)
6.16595001861481e+000	(-8.10710662803936e-003dB,-7.14237129147518e-002°)
6.30957344480192e+000	(-8.09751025021556e-003dB,-7.30874445222091e-002°)
6.45654229034654e+000	(-8.08746160120940e-003dB,-7.47899336808147e-002°)
